COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Philippines,PHL,WPRO,REPORTING,2021-03-20,292667,292667,0.267,0.267,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-03-01,5
Honduras,HND,AMRO,REPORTING,2021-03-26,53150,51367,0.537,0.519,"AstraZeneca - AZD1222,Moderna - mRNA-1273",2021-02-26,2
Switzerland,CHE,EURO,OWID,2021-03-28,1431525,898010,16.5,10.376,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Belize,BLZ,AMRO,REPORTING,2021-03-26,18241,18241,4.587,4.587,SII - Covishield,2021-03-01,1
Ukraine,UKR,EURO,OWID,2021-03-31,248736,248734,0.6,0.569,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-02-08,2
Albania,ALB,EURO,REPORTING,2021-03-16,24421,20754,0.8,0.721,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-11,2
Mozambique,MOZ,AFRO,REPORTING,2021-03-26,70000,,0.224,,Beijing CNBG - Inactivated,2021-03-15,1
Greenland,GRL,EURO,OWID,2021-03-01,5130,3927,9.036,6.917,Pfizer BioNTech - Comirnaty,,1
Nigeria,NGA,AFRO,REPORTING,2021-03-26,638291,,0.31,,SII - Covishield,2021-03-06,1
Trinidad and Tobago,TTO,AMRO,REPORTING,2021-03-26,1137,1137,0.081,0.081,SII - Covishield,2021-02-17,1
Ethiopia,ETH,AFRO,REPORTING,2021-03-26,,,,,SII - Covishield,2021-03-13,1
Belarus,BLR,EURO,REPORTING,2021-03-23,90107,63976,1,0.677,Gamaleya - Sputnik V,2021-02-01,1
Canada,CAN,AMRO,REPORTING,2021-03-26,4740035,4086178,12.559,10.827,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,3
Slovenia,SVN,EURO,REPORTING,2021-03-23,342421,230354,16.3,10.991,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Thailand,THA,SEARO,REPORTING,2021-03-24,120601,109153,0.173,0.156,"Janssen - Ad26.COV 2.5,Sinovac - CoronaVac",2021-02-28,2
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-03-26,26000,26000,26.55,26.55,SII - Covishield,2021-02-19,1
Latvia,LVA,EURO,REPORTING,2021-03-23,126227,104305,6.6,5.468,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Bulgaria,BGR,EURO,REPORTING,2021-03-30,445549,355219,6.4,5.11,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Liechtenstein,LIE,OTHER,OWID,2021-03-28,5471,,14.346,,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2
Guernsey,GGY,EURO,OWID,2021-03-29,33400,25746,52.851,40.74,Pfizer BioNTech - Comirnaty,,1
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2021-03-26,8134,8134,15.292,15.292,SII - Covishield,2021-02-22,1
Tunisia,TUN,EMRO,REPORTING,2021-03-26,44311,,0.375,,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-03-13,3
New Zealand,NZL,WPRO,OWID,2021-03-24,41500,41500,0.861,0.861,Pfizer BioNTech - Comirnaty,,1
Israel,ISR,EURO,REPORTING,2021-03-23,9929642,5223859,114.7,60.353,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-14,2
Bermuda,BMU,AMRO,REPORTING,2021-03-26,33498,20442,53.792,32.826,Pfizer BioNTech - Comirnaty,2021-01-11,1
Ghana,GHA,AFRO,REPORTING,2021-03-26,522313,,1.681,,SII - Covishield,2021-03-02,1
Algeria,DZA,AFRO,REPORTING,2021-03-26,,,,,Gamaleya - Sputnik V,,1
Guyana,GUY,AMRO,REPORTING,2021-03-26,25341,25341,3.222,3.222,"Beijing CNBG - Inactivated,SII - Covishield",2021-02-11,2
Portugal,PRT,EURO,REPORTING,2021-03-23,1691535,1196971,16.4,11.626,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Greece,GRC,EURO,REPORTING,2021-03-23,1603916,1055691,15,9.849,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Senegal,SEN,AFRO,REPORTING,2021-03-26,294607,,1.759,,Beijing CNBG - Inactivated,,1
Jordan,JOR,EMRO,REPORTING,2021-03-28,365324,,3.581,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-01-13,5
French Guiana,GUF,AMRO,REPORTING,2021-03-26,10841,8016,3.63,2.684,,,
Eswatini,SWZ,AFRO,REPORTING,2021-03-26,3260,,0.281,,SII - Covishield,2021-03-16,1
Turks and Caicos Islands,TCA,AMRO,REPORTING,2021-03-26,19161,12935,49.489,33.408,Pfizer BioNTech - Comirnaty,2021-01-11,1
Peru,PER,AMRO,REPORTING,2021-03-26,784965,530307,2.381,1.608,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",2021-02-09,3
Myanmar,MMR,SEARO,REPORTING,2021-02-04,105490,105490,0.194,0.194,SII - Covishield,2021-01-27,1
Togo,TGO,AFRO,REPORTING,2021-03-26,39237,,0.474,,SII - Covishield,2021-03-10,1
Republic of Korea,KOR,WPRO,OWID,2021-03-30,860387,852202,1.678,1.662,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2
United Arab Emirates,ARE,EMRO,OWID,2021-03-30,8220783,,83.119,,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Gamaleya - Sputnik V",,5
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-03-26,253356,171389,2.17,1.468,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-01-30,2
Papua New Guinea,PNG,WPRO,REPORTING,2021-03-29,0,0,0.001,0.001,"AstraZeneca - AZD1222,SII - Covishield",2021-03-29,2
Mexico,MEX,AMRO,REPORTING,2021-03-26,6243886,5460096,4.843,4.235,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,4
Dominican Republic,DOM,AMRO,REPORTING,2021-03-26,769780,769780,7.096,7.096,"SII - Covishield,Sinovac - CoronaVac",2021-02-16,2
Lebanon,LBN,EMRO,REPORTING,2021-03-29,183826,,2.693,,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",2021-02-14,4
Kazakhstan,KAZ,EURO,REPORTING,2021-03-23,257274,206540,1.4,1.1,Gamaleya - Sputnik V,2021-03-17,1
Estonia,EST,EURO,REPORTING,2021-03-23,254775,193928,19.2,14.592,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Spain,ESP,EURO,REPORTING,2021-03-23,7572588,4967826,16,10.496,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-15,3
Germany,DEU,EURO,REPORTING,2021-03-23,12818485,8947122,15.4,10.758,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
China,CHN,WPRO,OWID,2021-03-30,114690000,,7.795,,"Beijing CNBG - Inactivated, Wuhan CNBG - Inactivated, Sinovac - CoronaVac",,3
Finland,FIN,EURO,REPORTING,2021-03-23,931779,843295,16.9,15.262,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Sierra Leone,SLE,AFRO,REPORTING,2021-03-26,17143,,0.215,,SII - Covishield,2021-03-15,1
Rwanda,RWA,AFRO,REPORTING,2021-03-26,350926,,2.709,,"Moderna - mRNA-1273,SII - Covishield",2021-02-15,2
Poland,POL,EURO,REPORTING,2021-03-30,6028901,4018486,15.9,10.587,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Gibraltar,GIB,EURO,OWID,2021-03-29,59050,31098,175.269,92.304,Pfizer BioNTech - Comirnaty,,1
Nepal,NPL,SEARO,REPORTING,2021-03-23,1758333,1758333,6.035,6.035,"Bharat - Covaxin,SII - Covishield",2021-01-27,2
Jamaica,JAM,AMRO,REPORTING,2021-03-26,33642,33642,1.136,1.136,SII - Covishield,2021-03-10,1
Namibia,NAM,AFRO,OWID,2021-03-25,152,152,0.006,0.006,Beijing CNBG - Inactivated,,1
Norway,NOR,EURO,REPORTING,2021-03-23,859472,595267,16,11.09,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,3
Lesotho,LSO,AFRO,REPORTING,2021-03-26,15818,,0.738,,SII - Covishield,2021-03-10,1
Russian Federation,RUS,EURO,OWID,2021-03-31,11373572,7004336,7.8,4.8,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2
Italy,ITA,EURO,REPORTING,2021-03-23,9272731,6322192,15.5,10.601,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-01-04,3
Denmark,DNK,EURO,REPORTING,2021-03-23,1060067,690027,18.2,11.851,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-28,3
Czechia,CZE,EURO,REPORTING,2021-03-23,1574977,1129568,14.7,10.563,"AstraZeneca - AZD1222,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-23,3
Gambia,GMB,AFRO,REPORTING,2021-03-26,6833,,0.283,,"Beijing CNBG - Inactivated,SII - Covishield",2021-03-10,2
